"date","nretweets"
2019-01-01,"5976"
2019-01-02,"5717"
2019-01-03,"8555"
2019-01-04,"8210"
2019-01-05,"5792"
2019-01-06,"7347"
2019-01-07,"6788"
2019-01-08,"7984"
2019-01-09,"9183"
2019-01-10,"9269"
2019-01-11,"7488"
2019-01-12,"7328"
2019-01-13,"9326"
2019-01-14,"10767"
2019-01-15,"9342"
2019-01-16,"8576"
2019-01-17,"7398"
2019-01-18,"5044"
2019-01-19,"6339"
2019-01-20,"7254"
2019-01-21,"7891"
2019-01-22,"8846"
2019-01-23,"7792"
2019-01-24,"7828"
2019-01-25,"6140"
2019-01-26,"6702"
2019-01-27,"6627"
2019-01-28,"6901"
2019-01-29,"7967"
2019-01-30,"8569"
2019-01-31,"7881"
2019-02-01,"6281"
2019-02-02,"7268"
2019-02-03,"7426"
2019-02-04,"8230"
2019-02-05,"7037"
2019-02-06,"7557"
2019-02-07,"7591"
2019-02-08,"5801"
2019-02-09,"6468"
2019-02-10,"7890"
2019-02-11,"7715"
2019-02-12,"7617"
2019-02-13,"8157"
2019-02-14,"8170"
2019-02-15,"5955"
2019-02-16,"6224"
2019-02-17,"8230"
2019-02-18,"8253"
2019-02-19,"7596"
2019-02-20,"8063"
2019-02-21,"8119"
2019-02-22,"5351"
2019-02-23,"7036"
2019-02-24,"9799"
2019-02-25,"8803"
2019-02-26,"8533"
2019-02-27,"9582"
2019-02-28,"9689"
2019-03-01,"5639"
2019-03-02,"5712"
2019-03-03,"7771"
2019-03-04,"8465"
2019-03-05,"8106"
2019-03-06,"7504"
2019-03-07,"11329"
2019-03-08,"7114"
2019-03-09,"6630"
2019-03-10,"6715"
2019-03-11,"9522"
2019-03-12,"7514"
2019-03-13,"10072"
2019-03-14,"11494"
2019-03-15,"8212"
2019-03-16,"6942"
2019-03-17,"8133"
2019-03-18,"6860"
2019-03-19,"8556"
2019-03-20,"7403"
2019-03-21,"7066"
2019-03-22,"7629"
2019-03-23,"6690"
2019-03-24,"6745"
2019-03-25,"11071"
2019-03-26,"8496"
2019-03-27,"9235"
2019-03-28,"8374"
2019-03-29,"5512"
2019-03-30,"4912"
2019-03-31,"6666"
2019-04-01,"10010"
2019-04-02,"6947"
2019-04-03,"9497"
2019-04-04,"7698"
2019-04-05,"6538"
2019-04-06,"5762"
2019-04-07,"7177"
2019-04-08,"9057"
2019-04-09,"9863"
2019-04-10,"8521"
2019-04-11,"9254"
2019-04-12,"7369"
2019-04-13,"7037"
2019-04-14,"7446"
2019-04-15,"8603"
2019-04-16,"7784"
2019-04-17,"6702"
2019-04-18,"6086"
2019-04-19,"5516"
2019-04-20,"5372"
2019-04-21,"8535"
2019-04-22,"8685"
2019-04-23,"9736"
2019-04-24,"9478"
2019-04-25,"8617"
2019-04-26,"6826"
2019-04-27,"8575"
2019-04-28,"10974"
2019-04-29,"9973"
2019-04-30,"8476"
2019-05-01,"8893"
2019-05-02,"6953"
2019-05-03,"6741"
2019-05-04,"6753"
2019-05-05,"9513"
2019-05-06,"8125"
2019-05-07,"9278"
2019-05-08,"8908"
2019-05-09,"7420"
2019-05-10,"5159"
2019-05-11,"8665"
2019-05-12,"8982"
2019-05-13,"8269"
2019-05-14,"9652"
2019-05-15,"9345"
2019-05-16,"20273"
2019-05-17,"34642"
2019-05-18,"18048"
2019-05-19,"19523"
2019-05-20,"16307"
2019-05-21,"15925"
2019-05-22,"13246"
2019-05-23,"11384"
2019-05-24,"9082"
2019-05-25,"14319"
2019-05-26,"18148"
2019-05-27,"10941"
2019-05-28,"9772"
2019-05-29,"10410"
2019-05-30,"9922"
2019-05-31,"7804"
2019-06-01,"9482"
2019-06-02,"8626"
2019-06-03,"9716"
2019-06-04,"8737"
2019-06-05,"9688"
2019-06-06,"7428"
2019-06-07,"5071"
2019-06-08,"5169"
2019-06-09,"6481"
2019-06-10,"7062"
2019-06-11,"10001"
2019-06-12,"8171"
2019-06-13,"8116"
2019-06-14,"5970"
2019-06-15,"8519"
2019-06-16,"9327"
2019-06-17,"9232"
2019-06-18,"7677"
2019-06-19,"8496"
2019-06-20,"8876"
2019-06-21,"7558"
2019-06-22,"7308"
2019-06-23,"7205"
2019-06-24,"9539"
2019-06-25,"9448"
2019-06-26,"9069"
2019-06-27,"8837"
2019-06-28,"10459"
2019-06-29,"10376"
2019-06-30,"10567"
2019-07-01,"10034"
2019-07-02,"11734"
2019-07-03,"8093"
2019-07-04,"9402"
2019-07-05,"7280"
2019-07-06,"7210"
2019-07-07,"8066"
2019-07-08,"7901"
2019-07-09,"7333"
2019-07-10,"5755"
2019-07-11,"6521"
2019-07-12,"5223"
2019-07-13,"4754"
2019-07-14,"7236"
2019-07-15,"7967"
2019-07-16,"8111"
2019-07-17,"7530"
2019-07-18,"7852"
2019-07-19,"7173"
2019-07-20,"6173"
2019-07-21,"7976"
2019-07-22,"9716"
2019-07-23,"8153"
2019-07-24,"8334"
2019-07-25,"8652"
2019-07-26,"5641"
2019-07-27,"6857"
2019-07-28,"9177"
2019-07-29,"8625"
2019-07-30,"9160"
2019-07-31,"9353"
2019-08-01,"7511"
2019-08-02,"6066"
2019-08-03,"6031"
2019-08-04,"8223"
2019-08-05,"9446"
2019-08-06,"8020"
2019-08-07,"7633"
2019-08-08,"8253"
2019-08-09,"5936"
2019-08-10,"5956"
2019-08-11,"7584"
2019-08-12,"7645"
2019-08-13,"8752"
2019-08-14,"6934"
2019-08-15,"6796"
2019-08-16,"7348"
2019-08-17,"6501"
2019-08-18,"8375"
2019-08-19,"10234"
2019-08-20,"8728"
2019-08-21,"7470"
2019-08-22,"6788"
2019-08-23,"7608"
2019-08-24,"7924"
2019-08-25,"10569"
2019-08-26,"7675"
2019-08-27,"9457"
2019-08-28,"7793"
2019-08-29,"7432"
2019-08-30,"5679"
2019-08-31,"11362"
2019-09-01,"11149"
2019-09-02,"10997"
2019-09-03,"10494"
2019-09-04,"97"
2019-09-05,"0"
2019-09-06,"0"
2019-09-07,"26"
2019-09-08,"32"
2019-09-09,"0"
2019-09-10,"0"
2019-09-11,"131"
2019-09-12,"0"
2019-09-13,"549"
2019-09-14,"6"
2019-09-15,"3"
2019-09-16,"9"
2019-09-17,"29"
2019-09-18,"12"
2019-09-19,"25"
2019-09-20,"0"
2019-09-21,"0"
2019-09-22,"79"
2019-09-23,"149"
2019-09-24,"9790"
2019-09-25,"0"
2019-09-26,"0"
2019-09-27,"0"
2019-09-28,"0"
2019-09-29,"0"
2019-09-30,"8897"
2019-10-01,"8270"
2019-10-02,"8977"
2019-10-03,"7702"
2019-10-04,"6303"
2019-10-05,"8739"
2019-10-06,"8149"
2019-10-07,"8490"
2019-10-08,"11074"
2019-10-09,"9766"
2019-10-10,"10515"
2019-10-11,"7974"
2019-10-12,"9394"
2019-10-13,"10747"
2019-10-14,"9438"
2019-10-15,"9211"
2019-10-16,"8762"
2019-10-17,"10357"
2019-10-18,"7390"
2019-10-19,"7510"
2019-10-20,"8452"
2019-10-21,"8783"
2019-10-22,"10733"
2019-10-23,"8574"
2019-10-24,"8675"
2019-10-25,"5577"
2019-10-26,"7086"
2019-10-27,"6818"
2019-10-28,"7119"
2019-10-29,"7661"
2019-10-30,"6831"
2019-10-31,"6896"
2019-11-01,"6258"
2019-11-02,"6736"
2019-11-03,"10465"
2019-11-04,"7786"
2019-11-05,"7669"
2019-11-06,"9584"
2019-11-07,"8270"
2019-11-08,"6486"
2019-11-09,"10225"
2019-11-10,"8625"
2019-11-11,"10210"
2019-11-12,"8692"
2019-11-13,"8191"
2019-11-14,"9109"
2019-11-15,"6104"
2019-11-16,"8018"
2019-11-17,"10005"
2019-11-18,"8216"
2019-11-19,"9167"
2019-11-20,"7988"
2019-11-21,"7399"
2019-11-22,"6254"
2019-11-23,"6909"
2019-11-24,"8997"
2019-11-25,"8238"
2019-11-26,"9509"
2019-11-27,"9018"
2019-11-28,"9179"
2019-11-29,"7029"
2019-11-30,"7170"
2019-12-01,"7681"
2019-12-02,"8648"
2019-12-03,"9040"
2019-12-04,"7443"
2019-12-05,"7973"
2019-12-06,"6362"
2019-12-07,"6938"
2019-12-08,"8747"
2019-12-09,"9308"
2019-12-10,"9712"
2019-12-11,"13236"
2019-12-12,"8764"
2019-12-13,"6587"
2019-12-14,"7578"
2019-12-15,"7475"
2019-12-16,"8942"
2019-12-17,"8100"
2019-12-18,"12771"
2019-12-19,"7154"
2019-12-20,"7228"
2019-12-21,"5644"
2019-12-22,"6051"
2019-12-23,"4697"
2019-12-24,"4356"
2019-12-25,"5380"
2019-12-26,"8057"
2019-12-27,"6846"
2019-12-28,"8677"
2019-12-29,"6757"
2019-12-30,"5962"
2019-12-31,"8127"
2020-01-01,"11744"
2020-01-02,"10126"
2020-01-03,"10922"
2020-01-04,"7899"
2020-01-05,"8612"
2020-01-06,"12573"
2020-01-07,"9004"
2020-01-08,"8213"
2020-01-09,"8999"
2020-01-10,"7266"
2020-01-11,"7005"
2020-01-12,"7715"
2020-01-13,"12539"
2020-01-14,"9187"
2020-01-15,"9375"
2020-01-16,"8296"
2020-01-17,"6739"
2020-01-18,"7691"
2020-01-19,"10070"
2020-01-20,"9020"
2020-01-21,"9241"
2020-01-22,"8591"
2020-01-23,"10568"
2020-01-24,"7343"
2020-01-25,"8611"
2020-01-26,"10537"
2020-01-27,"9482"
2020-01-28,"8417"
2020-01-29,"9835"
2020-01-30,"7621"
2020-01-31,"7596"
2020-02-01,"6498"
2020-02-02,"8613"
2020-02-03,"9251"
2020-02-04,"13284"
2020-02-05,"11836"
2020-02-06,"9812"
2020-02-07,"9901"
2020-02-08,"9364"
2020-02-09,"12083"
2020-02-10,"9375"
2020-02-11,"11040"
2020-02-12,"11583"
2020-02-13,"9435"
2020-02-14,"8684"
2020-02-15,"9237"
2020-02-16,"10473"
2020-02-17,"10284"
2020-02-18,"10028"
2020-02-19,"14994"
2020-02-20,"10035"
2020-02-21,"9834"
2020-02-22,"10725"
2020-02-23,"10023"
2020-02-24,"11844"
2020-02-25,"12767"
2020-02-26,"11982"
2020-02-27,"12247"
2020-02-28,"11283"
2020-02-29,"12947"
2020-03-01,"13296"
2020-03-02,"14601"
2020-03-03,"12245"
2020-03-04,"11768"
2020-03-05,"12586"
2020-03-06,"12990"
2020-03-07,"15645"
2020-03-08,"12295"
2020-03-09,"15186"
2020-03-10,"16544"
2020-03-11,"18338"
2020-03-12,"20734"
2020-03-13,"32999"
2020-03-14,"25351"
2020-03-15,"23506"
2020-03-16,"21594"
2020-03-17,"19860"
2020-03-18,"17061"
2020-03-19,"20697"
2020-03-20,"18049"
2020-03-21,"16561"
2020-03-22,"14840"
2020-03-23,"15220"
2020-03-24,"15001"
2020-03-25,"17673"
2020-03-26,"14355"
2020-03-27,"13655"
2020-03-28,"14969"
2020-03-29,"19301"
2020-03-30,"16600"
2020-03-31,"14191"
2020-04-01,"15411"
2020-04-02,"15706"
2020-04-03,"15629"
2020-04-04,"12409"
2020-04-05,"13044"
2020-04-06,"12315"
2020-04-07,"13800"
2020-04-08,"13473"
2020-04-09,"12620"
2020-04-10,"11236"
2020-04-11,"9118"
2020-04-12,"10601"
2020-04-13,"13414"
2020-04-14,"13958"
2020-04-15,"14438"
2020-04-16,"12457"
2020-04-17,"9950"
2020-04-18,"10576"
2020-04-19,"12404"
2020-04-20,"0"
