"Topics Report",
"Topics","1 to 60 of 60"
"Project Id","1998303905"
"Query Id","[2000423391]"
"Start Date","Tue Mar 03 23:00:00 UTC 2020"
"End Date","Tue Apr 07 21:59:59 UTC 2020"

"Topic Name","Type","Mentions","Percentage Volume"
"mensen","Keyword",17592,7.917619313374259
"Corona","Keyword",9745,4.385925432516608
"gewoon","Keyword",9202,4.14153779682071
"vind","Keyword",7281,3.276954651016256
"coronavirus","Keyword",6356,2.860640538642951
"mee","Keyword",6314,2.8417376275946498
"alle","Keyword",6170,2.776927646857616
"maken","Keyword",6157,2.771076745818856
"ga","Keyword",5420,2.4393756638522333
"tijd","Keyword",5369,2.4164221290078673
"denk","Keyword",4625,2.0815705618665277
"man","Keyword",4622,2.080220353934506
"komen","Keyword",4588,2.064917997371595
"Nederland","Keyword",4538,2.042414531837903
"jaar","Keyword",4480,2.01631051181882
"allemaal","Keyword",4418,1.9884062145570418
"hoor","Keyword",4370,1.966802887644697
"jullie","Keyword",4319,1.9438493528003313
"erg","Keyword",4211,1.895241867247556
"zit","Keyword",4155,1.870037985849821
"laat","Keyword",3996,1.7984769654526798
"nou","Keyword",3990,1.7957765495886366
"dag","Keyword",3985,1.7935262030352677
"helemaal","Keyword",3980,1.791275856481898
"sterkte","Keyword",3968,1.7858750247538122
"thuis","Keyword",3906,1.7579707274920335
"steeds","Keyword",3903,1.7566205195600122
"Lees","Keyword",3756,1.6904603308909572
"virus","Keyword",3719,1.673807766396025
"blijven","Keyword",3638,1.6373521522314436
"beetje","Keyword",3598,1.6193493798044898
"snel","Keyword",3577,1.609897924280339
"werk","Keyword",3576,1.6094478549696651
"he","Keyword",3563,1.6035969539309054
"hele","Keyword",3513,1.581093488397213
"staat","Keyword",3444,1.550038705960718
"elkaar","Keyword",3416,1.5374367652618504
"zie","Keyword",3399,1.529785586980395
"vandaag","Keyword",3394,1.5275352404270257
"maakt","Keyword",3241,1.4586746358939278
"leven","Keyword",3219,1.4487731110591031
"zeg","Keyword",3208,1.4438223486416908
"zitten","Keyword",3147,1.4163681206905863
"kinderen","Keyword",3133,1.4100671503411524
"natuurlijk","Keyword",3070,1.3817127837687004
"hoop","Keyword",3009,1.354258555817596
"lekker","Keyword",2928,1.3178029416530146
"grote","Keyword",2877,1.2948494068086487
"#coronavirus","Hashtag",2855,1.284947881973824
"face with tears of joy","Emoji",2805,1.2624444164401318
"staan","Keyword",2779,1.250742614362612
"keer","Keyword",2771,1.2471420598772212
"soort","Keyword",2750,1.2376906043530704
"nieuwe","Keyword",2740,1.2331899112463318
"doe","Keyword",2738,1.2322897726249842
"land","Keyword",2713,1.2210380398581382
"week","Keyword",2701,1.215637208130052
"vinden","Keyword",2679,1.2057356832952275
"zelfs","Keyword",2666,1.1998847822564673
"weten","Keyword",2638,1.1872828415576
